affinity-inactive,affinity_7E2Y_H-Chembl24,affinity_7E2Y_H-gail_sm,affinity_7E2Y_H-gail_sf,affinity-active
-8.047,-10.67,-9.57,-10.69,-8.849
-8.33,-8.848,-7.809,-6.943,-9.986
-8.24,-9.531,-8.623,-13.07,-9.864
-7.876,-10.86,-8.803,-7.924,-8.573
-7.597,-8.335,-8.385,-8.715,-8.514
-8.14,-8.619,-9.347,-11.9,-11.58
-7.768,-9.107,-7.863,-8.518,-8.765
-9.892,-9.364,-9.648,-13.89,-9.14
-10.37,-7.798,-9.019,-12.6,-7.642
-9.143,-8.111,-9.823,-9.638,-10.01
-9.378,-10.62,-10.35,-8.103,-10.09
-8.11,-10.49,-7.476,-7.976,-8.685
-7.613,-9.607,-7.478,-6.746,-9.649
-7.67,-9.497,-7.561,-13.14,-9.565
-9.096,-9.515,-9.388,-8.186,-9.189
-8.906,-9.951,-7.936,-8.815,-7.714
-9.018,-8.701,-9.521,-8.796,-7.807
-8.505,-7.331,-10.15,-8.889,-10.46
-6.557,-12.48,-8.374,-9.508,-8.724
-7.482,-8.062,-8.753,-9.098,-10.52
-8.104,-9.541,-10.11,-9.141,-8.867
-9.141,-7.662,-8.552,-9.02,-10.05
-9.312,-8.587,-7.352,-9.132,-8.723
-7.161,-9.006,-8.367,-10.34,-9.077
-7.099,-8.821,-7.267,-9.193,-11.35
-7.093,-8.813,-7.158,-9.836,-8.751
-8.706,-9.326,-10.71,-8.359,-7.285
-6.559,-9.286,-13,-9.527,-11.39
-8.358,-10.64,-10.53,-10.66,-11.13
-7.875,-9.66,-5.626,-9.115,-8.873
-9.931,-9.347,-10.25,-14.11,-9.121
-8.014,-8.662,-13.23,-9.157,-9.472
-7.405,-11.11,-10.44,-12.26,-12.13
-9.246,-8.783,-8.906,-8.158,-10.4
-8.547,-9.692,-8.54,-15.32,-8.858
-11.02,-7.308,-9.049,-16.07,-8.856
-7.907,-9.656,-13.32,-9.659,-8.286
-7.2,-10.17,-9.089,-9.158,-10.39
-6.53,-8.708,-8.663,-9.079,-10.45
-10.43,-8.605,-8.114,-8.378,-9.992
-7.793,-10.5,-8.039,-8.649,-9.832
-12.16,-9.527,-8.37,-8.199,-10.1
-9.099,-8.507,-9.895,-9.825,-9.147
-9.103,-8.892,-9.68,-7.543,-10.83
-10.2,-8.658,-13.57,-10.93,-11.05
-8.956,-8.013,-9.103,-8.907,-8.126
-7.217,-9.628,-8.29,-9.368,-8.002
-8.375,-11.08,-6.057,-10.21,-9.773
-8.413,-7.826,-8.375,-8.9,-6.965
-7.527,-8.19,-9.856,-9.997,-9.903
-7.346,-9.325,-8.534,-8.746,-8.652
-8.675,-8.104,-8.82,-8.29,-8.19
-9.912,-10.17,-6.286,-8.937,-10.05
-8.95,-9.652,-9.639,-8.451,-8.019
-8.69,-8.653,-7.747,-8.813,-9.056
-8.123,-10.43,-9.082,-10.65,-8.779
-10.08,-8.654,-8.622,-7.944,-8.923
-8.241,-9.469,-8.877,-7.351,-13.11
-8.442,-9.522,-9.326,-12.38,-10.84
-10.11,-8.845,-8.606,-8.792,-9.079
-7.95,-8.376,-10.04,-9.514,-9.287
