affinity-inactive,affinity_6LUQ_H-Chembl24,affinity_6LUQ_H-gail_sm,affinity_6LUQ_H-gail_sf,affinity-active
-8.337,-9.207,-6.699,-9.572,-9.673
-10.39,-6.852,-7.325,-9.052,-9.297
-7.407,-9.274,-10.18,-10.23,-9.633
-9.431,-10.52,-9.753,-11.97,-9.474
-7.837,-7.9,-10.48,-11.46,-11.87
-8.066,-8.555,-9.868,-9.318,-7.881
-10.07,-8,-9.713,-7.567,-9.006
-10.39,-8.207,-10.4,-10.73,-11.94
-8.318,-10.8,-9.595,-10.41,-8.023
-8.002,-7.792,-13.37,-8.607,-9.472
-12.15,-10.36,-8.971,-10.07,-7.533
-6.124,-7.945,-9.461,-7.169,-11.19
-11.72,-8.265,-10.96,-10.72,-8.042
-9.303,-9.938,-9.77,-11.18,-8.178
-7.932,-10.03,-10.99,-7.44,-8.153
-7.026,-9.119,-8.643,-11.16,-11.31
-9.139,-7.234,-9.11,-9.132,-10.28
-7.354,-8.667,-10.67,-6.728,-8.091
-9.36,-10.96,-10.26,-8.049,-8.597
-11.44,-8.118,-8.686,-8.798,-8.839
-7.011,-9.858,-9.783,-9.155,-9.122
-9.649,-13.01,-9.368,-12.98,-8.707
-9.359,-8.83,-9.147,-10,-8.873
-7.215,-10.76,-7,-9.23,-10.48
-8.338,-9.146,-9.196,-9.241,-9.141
-8.378,-9.299,-9.823,-7.762,-9.004
-9.6,-9.889,-13.69,-7.639,-8.419
-7.69,-8.895,-10.5,-10.84,-8.487
-7.189,-9.993,-8.391,-9.431,-11.23
-7.916,-8.324,-7.047,-9.389,-12.77
-8.59,-10.73,-10.02,-10.45,-11.29
-9.031,-10.01,-11.74,-7.225,-10.03
-10.09,-8.265,-9.726,-8.69,-9.359
-7.738,-8.554,-15.36,-9.139,-9.958
-9.723,-7.871,-9.617,-11.79,-9.194
-9.645,-8.634,-10.2,-8.558,-9.94
-7.869,-8.888,-9.324,-9.161,-8.166
-9.126,-8.806,-11.25,-10.95,-13.31
-9.016,-8.114,-11.72,-7.886,-9.867
-9.561,-7.694,-7.879,-8.888,-9.763
-7.892,-7.42,-9.652,-12.01,-13.87
-9.303,-9.147,-8.834,-8.717,-9.958
-8.286,-8.027,-7.69,-7.066,-8.287
-9.252,-9.351,-9.769,-14.41,-11.85
-9.151,-9.767,-9.29,-7.698,-8.288
-10.14,-9.43,-9.06,-9.021,-9.198
-8.152,-10.06,-12.83,-9.881,-10.99
-9.868,-9.823,-10.27,-8.966,-6.628
-9.867,-8.915,-13.77,-8.617,-9.733
-9.138,-9.562,-7.959,-8.154,-10.82
-10.16,-9.46,-8.138,-8.642,-8.614
-8.724,-7.894,-7.724,-12.36,-9.293
-8.769,-11.6,-8.675,-9.147,-12.81
-7.103,-10.62,-6.999,-9.165,-10.99
-9.029,-9.811,-11.28,-6.95,-8.037
-7.128,-8.029,-7.851,-11.6,-8.755
-7.658,-11.8,-7.334,-8.01,-11.21
-10.71,-9.779,-6.953,-9.823,-9.263
-7.138,-8.502,-9.564,-7.302,-10.73
-15.01,-13.12,-9.342,-8.186,-11.96
-8.419,-9.584,-10.35,-7.22,-7.963
-8.569,-10.87,-8.647,-8.885,-10.49
-10.76,-11.48,-8.19,-8.879,-9.586
-8.403,-9.503,-10.13,-8.605,-10.98
-8.066,-9.496,-7.438,-8.821,-10.4
-10.28,-7.932,-10.18,-8.631,-11.82
-8.664,-9.185,-6.333,-12.41,-7.272
-6.385,-9.185,-7.217,-14.68,-10.01
-8.813,-9.858,-9.2,-11.7,-10.04
-8.713,-9.553,-9.186,-7.727,-11.41
-9.268,-7.123,-7.626,-11.54,-6.71
-7.693,-9.012,-9.65,-10.27,-7.711
-8.515,-9.57,-9.442,-10.77,-9.048
-7.391,-9.602,-8.408,-8.771,-9.935
-9.779,-8.48,-10.95,-8.754,-12.16
-9.951,-7.867,-14.95,-10.83,-9.346
-9.519,-8.092,-8.655,-12.56,-6.692
-9.299,-9.645,-8.724,-8.883,-8.194
-8.254,-7.307,-8.023,-11.52,-7.651
-6.018,-11.43,-7.391,-6.99,-10.35
-9.548,-10.87,-12.72,-8.326,-9.104
-8.751,-7.97,-10.78,-13.09,-9.593
-9.206,-8.464,-8.769,-6.693,-7.832
-8.906,-8.589,-7.069,-9.811,-9.771
-10.36,-11.2,-9.206,-10.08,-10.45
-7.871,-8.261,-8.63,-9.652,-10.28
-10.13,-9.521,-9.787,-10.13,-11.18
-8.796,-8.971,-12.44,-8.257,-9.767
-7.143,-9.721,-8.523,-9.939,-7.444
-8.593,-8.069,-9.608,-10.22,-9.726
-9.35,-8.857,-7.214,-13.96,-6.628
-8.543,-11.07,-9.574,-9.376,-9.249
-12.36,-9.28,-10.86,-9.98,-10.16
-8.547,-10.51,-9.933,-11.93,-6.702
-8.93,-9.986,-7.959,-9.673,-11.57
-9.053,-7.39,-7.995,-9.951,-10.32
-8.021,-8.274,-10.17,-8.803,-9.976
-10.37,-9.148,-9.95,-8.097,-8.548
-7.652,-8.667,-13.05,-11.78,-10.09
-9.693,-8.346,-8.835,-8.422,-8.806
-10.8,-11.11,-10.61,-7.836,-8.53
-8.813,-8.919,-8.902,-6.658,-9.909
-8.338,-12.6,-12.13,-6.727,-11.88
-9.375,-12.09,-9.677,-9.41,-9.483
